"filename", "language", "JavaScript", "PHP", "JSON", "Markdown", "XML", "CSS", "YAML", "Batch", "comment", "blank", "total"
"d:\Projects\Websites\befikr\.github\workflows\deployTesting.yml", "YAML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 10, 46
"d:\Projects\Websites\befikr\.github\workflows\phpunit.yml", "YAML", 0, 0, 0, 0, 0, 0, 29, 0, 0, 9, 38
"d:\Projects\Websites\befikr\PHPMailer-master\README.md", "Markdown", 0, 0, 0, -167, 0, 0, 0, 0, 0, -64, -231
"d:\Projects\Websites\befikr\PHPMailer-master\SECURITY.md", "Markdown", 0, 0, 0, -19, 0, 0, 0, 0, 0, -19, -38
"d:\Projects\Websites\befikr\PHPMailer-master\composer.json", "JSON", 0, 0, -80, 0, 0, 0, 0, 0, 0, -1, -81
"d:\Projects\Websites\befikr\PHPMailer-master\get_oauth_token.php", "PHP", 0, -117, 0, 0, 0, 0, 0, 0, -48, -18, -183
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-af.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -4, -3, -27
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ar.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -5, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-as.php", "PHP", 0, -28, 0, 0, 0, 0, 0, 0, -5, -3, -36
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-az.php", "PHP", 0, -19, 0, 0, 0, 0, 0, 0, -6, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ba.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -5, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-be.php", "PHP", 0, -19, 0, 0, 0, 0, 0, 0, -6, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-bg.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -5, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-bn.php", "PHP", 0, -28, 0, 0, 0, 0, 0, 0, -5, -3, -36
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ca.php", "PHP", 0, -19, 0, 0, 0, 0, 0, 0, -6, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-cs.php", "PHP", 0, -22, 0, 0, 0, 0, 0, 0, -4, -3, -29
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-da.php", "PHP", 0, -27, 0, 0, 0, 0, 0, 0, -7, -3, -37
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-de.php", "PHP", 0, -22, 0, 0, 0, 0, 0, 0, -4, -3, -29
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-el.php", "PHP", 0, -27, 0, 0, 0, 0, 0, 0, -4, -3, -34
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-eo.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -4, -3, -27
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-es.php", "PHP", 0, -27, 0, 0, 0, 0, 0, 0, -7, -3, -37
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-et.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -6, -3, -29
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-fa.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -6, -3, -29
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-fi.php", "PHP", 0, -13, 0, 0, 0, 0, 0, 0, -12, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-fo.php", "PHP", 0, -13, 0, 0, 0, 0, 0, 0, -12, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-fr.php", "PHP", 0, -27, 0, 0, 0, 0, 0, 0, -7, -3, -37
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-gl.php", "PHP", 0, -19, 0, 0, 0, 0, 0, 0, -6, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-he.php", "PHP", 0, -19, 0, 0, 0, 0, 0, 0, -6, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-hi.php", "PHP", 0, -27, 0, 0, 0, 0, 0, 0, -6, -3, -36
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-hr.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -5, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-hu.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -5, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-hy.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -5, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-id.php", "PHP", 0, -22, 0, 0, 0, 0, 0, 0, -7, -3, -32
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-it.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -6, -3, -29
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ja.php", "PHP", 0, -27, 0, 0, 0, 0, 0, 0, -8, -3, -38
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ka.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -5, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ko.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -5, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ku.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -5, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-lt.php", "PHP", 0, -19, 0, 0, 0, 0, 0, 0, -6, -3, -28
