Date : 2025-03-21 13:27:45
Directory : d:\Projects\Websites\befikr
Total : 1886 files,  101520 codes, 33945 comments, 21197 blanks, all 156662 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |      1,666 |     82,161 |     33,807 |     18,661 |    134,629 |
| JSON       |         38 |      6,817 |          0 |         38 |      6,855 |
| XML        |         47 |      6,322 |          0 |         35 |      6,357 |
| Markdown   |         77 |      3,499 |          0 |      2,121 |      5,620 |
| JavaScript |         46 |      2,408 |        131 |        240 |      2,779 |
| CSS        |          6 |        170 |          6 |         59 |        235 |
| YAML       |          4 |        133 |          1 |         41 |        175 |
| Batch      |          2 |         10 |          0 |          2 |         12 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                       |      1,886 |    101,520 |     33,945 |     21,197 |    156,662 |
| . (Files)                                                                                                                                                               |         14 |      2,167 |        127 |        129 |      2,423 |
| .github                                                                                                                                                                 |          2 |         65 |          0 |         19 |         84 |
| .github\workflows                                                                                                                                                       |          2 |         65 |          0 |         19 |         84 |
| PHPMailer-master                                                                                                                                                        |         68 |     -5,692 |     -3,388 |       -917 |     -9,997 |
| PHPMailer-master (Files)                                                                                                                                                |          4 |       -383 |        -48 |       -102 |       -533 |
| PHPMailer-master\language                                                                                                                                               |         57 |     -1,256 |       -336 |       -171 |     -1,763 |
| PHPMailer-master\src                                                                                                                                                    |          7 |     -4,053 |     -3,004 |       -644 |     -7,701 |
| public                                                                                                                                                                  |         22 |         62 |          0 |          1 |         63 |
| public (Files)                                                                                                                                                          |          1 |         45 |          0 |          1 |         46 |
| public\extraLogos                                                                                                                                                       |         14 |         14 |          0 |          0 |         14 |
| public\logos                                                                                                                                                            |          2 |         -2 |          0 |          0 |         -2 |
| public\service_img                                                                                                                                                      |          5 |          5 |          0 |          0 |          5 |
| script                                                                                                                                                                  |          1 |         28 |          3 |          6 |         37 |
| src                                                                                                                                                                     |         39 |      2,325 |        118 |        241 |      2,684 |
| src\app                                                                                                                                                                 |         39 |      2,325 |        118 |        241 |      2,684 |
| src\app (Files)                                                                                                                                                         |          3 |         11 |          2 |         17 |         30 |
| src\app\about-befikr                                                                                                                                                    |          1 |        -58 |          0 |         -7 |        -65 |
| src\app\about-us                                                                                                                                                        |          2 |        104 |          0 |         15 |        119 |
| src\app\about-us (Files)                                                                                                                                                |          1 |         62 |          0 |          8 |         70 |
| src\app\about-us\founders                                                                                                                                               |          1 |         42 |          0 |          7 |         49 |
| src\app\career                                                                                                                                                          |          6 |       -598 |        -18 |        -74 |       -690 |
| src\app\career (Files)                                                                                                                                                  |          3 |        -93 |          0 |        -15 |       -108 |
| src\app\career\job                                                                                                                                                      |          2 |       -414 |        -18 |        -47 |       -479 |
| src\app\career\postJobs                                                                                                                                                 |          1 |        -91 |          0 |        -12 |       -103 |
| src\app\careers                                                                                                                                                         |          8 |      1,662 |         68 |        143 |      1,873 |
| src\app\careers (Files)                                                                                                                                                 |          3 |         87 |         16 |         15 |        118 |
| src\app\careers\jobs                                                                                                                                                    |          4 |      1,484 |         52 |        116 |      1,652 |
| src\app\careers\postJobs                                                                                                                                                |          1 |         91 |          0 |         12 |        103 |
| src\app\components                                                                                                                                                      |         16 |        879 |         61 |        107 |      1,047 |
| src\app\reach-us                                                                                                                                                        |          1 |        237 |          5 |         26 |        268 |
| src\app\services                                                                                                                                                        |          2 |         88 |          0 |         14 |        102 |
| src\app\services (Files)                                                                                                                                                |          1 |         12 |          0 |          1 |         13 |
| src\app\services\electrical-safety-audit                                                                                                                                |          1 |         76 |          0 |         13 |         89 |
| tests                                                                                                                                                                   |          1 |         26 |          2 |         10 |         38 |
| vendor                                                                                                                                                                  |      1,739 |    102,539 |     37,083 |     21,708 |    161,330 |
| vendor (Files)                                                                                                                                                          |          1 |         20 |          1 |          5 |         26 |
| vendor\bin                                                                                                                                                              |          2 |         10 |          0 |          2 |         12 |
| vendor\composer                                                                                                                                                         |         11 |      5,205 |        385 |        154 |      5,744 |
| vendor\myclabs                                                                                                                                                          |         29 |        866 |        330 |        344 |      1,540 |
| vendor\myclabs\deep-copy                                                                                                                                                |         29 |        866 |        330 |        344 |      1,540 |
| vendor\myclabs\deep-copy (Files)                                                                                                                                        |          2 |        301 |          0 |        150 |        451 |
| vendor\myclabs\deep-copy\src                                                                                                                                            |         27 |        565 |        330 |        194 |      1,089 |
| vendor\myclabs\deep-copy\src\DeepCopy                                                                                                                                   |         27 |        565 |        330 |        194 |      1,089 |
| vendor\myclabs\deep-copy\src\DeepCopy (Files)                                                                                                                           |          2 |        195 |         95 |         56 |        346 |
| vendor\myclabs\deep-copy\src\DeepCopy\Exception                                                                                                                         |          2 |         12 |          0 |          7 |         19 |
| vendor\myclabs\deep-copy\src\DeepCopy\Filter                                                                                                                            |          8 |        101 |         71 |         39 |        211 |
| vendor\myclabs\deep-copy\src\DeepCopy\Filter (Files)                                                                                                                    |          5 |         58 |         44 |         24 |        126 |
| vendor\myclabs\deep-copy\src\DeepCopy\Filter\Doctrine                                                                                                                   |          3 |         43 |         27 |         15 |         85 |
| vendor\myclabs\deep-copy\src\DeepCopy\Matcher                                                                                                                           |          5 |         72 |         65 |         27 |        164 |
| vendor\myclabs\deep-copy\src\DeepCopy\Matcher (Files)                                                                                                                   |          4 |         61 |         57 |         23 |        141 |
| vendor\myclabs\deep-copy\src\DeepCopy\Matcher\Doctrine                                                                                                                  |          1 |         11 |          8 |          4 |         23 |
| vendor\myclabs\deep-copy\src\DeepCopy\Reflection                                                                                                                        |          1 |         44 |         23 |         12 |         79 |
| vendor\myclabs\deep-copy\src\DeepCopy\TypeFilter                                                                                                                        |          8 |        127 |         65 |         48 |        240 |
| vendor\myclabs\deep-copy\src\DeepCopy\TypeFilter (Files)                                                                                                                |          3 |         29 |         23 |         11 |         63 |
| vendor\myclabs\deep-copy\src\DeepCopy\TypeFilter\Date                                                                                                                   |          2 |         41 |         22 |         14 |         77 |
| vendor\myclabs\deep-copy\src\DeepCopy\TypeFilter\Spl                                                                                                                    |          3 |         57 |         20 |         23 |        100 |
| vendor\myclabs\deep-copy\src\DeepCopy\TypeMatcher                                                                                                                       |          1 |         14 |         11 |          5 |         30 |
| vendor\nikic                                                                                                                                                            |        267 |     16,185 |      4,681 |      2,934 |     23,800 |
| vendor\nikic\php-parser                                                                                                                                                 |        267 |     16,185 |      4,681 |      2,934 |     23,800 |
| vendor\nikic\php-parser (Files)                                                                                                                                         |          2 |        240 |          0 |         38 |        278 |
| vendor\nikic\php-parser\lib                                                                                                                                             |        265 |     15,945 |      4,681 |      2,896 |     23,522 |
| vendor\nikic\php-parser\lib\PhpParser                                                                                                                                   |        265 |     15,945 |      4,681 |      2,896 |     23,522 |
| vendor\nikic\php-parser\lib\PhpParser (Files)                                                                                                                           |         28 |      3,823 |      1,938 |        746 |      6,507 |
| vendor\nikic\php-parser\lib\PhpParser\Builder                                                                                                                           |         16 |        792 |        667 |        272 |      1,731 |
| vendor\nikic\php-parser\lib\PhpParser\Comment                                                                                                                           |          1 |          4 |          0 |          3 |          7 |
| vendor\nikic\php-parser\lib\PhpParser\ErrorHandler                                                                                                                      |          2 |         28 |         22 |         12 |         62 |
| vendor\nikic\php-parser\lib\PhpParser\Internal                                                                                                                          |          5 |        486 |        235 |         83 |        804 |
| vendor\nikic\php-parser\lib\PhpParser\Lexer                                                                                                                             |         13 |        542 |         64 |        133 |        739 |
| vendor\nikic\php-parser\lib\PhpParser\Lexer (Files)                                                                                                                     |          1 |        168 |         28 |         31 |        227 |
| vendor\nikic\php-parser\lib\PhpParser\Lexer\TokenEmulator                                                                                                               |         12 |        374 |         36 |        102 |        512 |
| vendor\nikic\php-parser\lib\PhpParser\Node                                                                                                                              |        190 |      3,456 |      1,574 |      1,304 |      6,334 |
| vendor\nikic\php-parser\lib\PhpParser\Node (Files)                                                                                                                      |         26 |        640 |        402 |        221 |      1,263 |
| vendor\nikic\php-parser\lib\PhpParser\NodeVisitor                                                                                                                       |          7 |        372 |        106 |         83 |        561 |
| vendor\nikic\php-parser\lib\PhpParser\Node\Expr                                                                                                                         |         95 |      1,361 |        430 |        565 |      2,356 |
| vendor\nikic\php-parser\lib\PhpParser\Node\Expr (Files)                                                                                                                 |         48 |        901 |        429 |        349 |      1,679 |
| vendor\nikic\php-parser\lib\PhpParser\Node\Expr\AssignOp                                                                                                                |         13 |        104 |          0 |         52 |        156 |
| vendor\nikic\php-parser\lib\PhpParser\Node\Expr\BinaryOp                                                                                                                |         27 |        297 |          0 |        135 |        432 |
| vendor\nikic\php-parser\lib\PhpParser\Node\Expr\Cast                                                                                                                    |          7 |         59 |          1 |         29 |         89 |
| vendor\nikic\php-parser\lib\PhpParser\Node\Name                                                                                                                         |          2 |         44 |         40 |         16 |        100 |
| vendor\nikic\php-parser\lib\PhpParser\Node\Scalar                                                                                                                       |         18 |        342 |        111 |        128 |        581 |
| vendor\nikic\php-parser\lib\PhpParser\Node\Scalar (Files)                                                                                                               |          9 |        243 |        111 |         83 |        437 |
| vendor\nikic\php-parser\lib\PhpParser\Node\Scalar\MagicConst                                                                                                            |          9 |         99 |          0 |         45 |        144 |
